,AAPL,NVDA,TSLA,IBM
2021-11-17,153.49,292.61,1089.01,118.06
2021-11-16,151.0,302.03,1054.73,118.46
2021-11-15,150.0,300.25,1013.39,118.87
2021-11-12,149.99,303.9,1033.42,118.96
2021-11-11,147.87,303.9,1063.51,120.27
2021-11-10,147.92,294.59,1067.95,120.22
2021-11-09,150.81,306.57,1023.5,120.85
2021-11-08,150.44,308.04,1162.94,124.54
2021-11-05,151.28,297.52,1222.09,123.61
2021-11-04,150.96,298.01,1229.91,120.85
2021-11-03,151.49,265.98,1213.86,127.13
2021-11-02,150.02,264.01,1172.0,126.18
2021-11-01,148.96,258.27,1208.59,126.28
2021-10-29,149.8,255.67,1114.0,125.1
2021-10-28,152.57,249.41,1077.04,125.84
2021-10-27,148.85,244.51,1037.86,125.17
2021-10-26,149.32,247.17,1018.43,127.13
2021-10-25,148.64,231.66,1024.86,127.64
2021-10-22,148.69,227.26,909.68,127.88
2021-10-21,149.48,226.92,894.0,128.33
2021-10-20,149.26,221.03,865.8,141.9
2021-10-19,148.76,222.9,864.27,141.98
2021-10-18,146.55,222.22,870.11,142.32
2021-10-15,144.84,218.62,843.03,144.61
2021-10-14,143.76,217.46,818.32,143.39
2021-10-13,140.91,209.39,811.08,140.76
2021-10-12,141.51,206.71,805.72,140.47
2021-10-11,142.81,206.95,791.94,142.43
2021-10-08,142.9,208.31,785.49,143.22
2021-10-07,143.29,210.75,793.61,141.81
2021-10-06,142.0,207.0,782.75,142.36
2021-10-05,141.11,204.51,780.59,143.15
2021-10-04,139.14,197.32,781.53,144.11
2021-10-01,142.65,207.42,775.22,143.32
2021-09-30,141.5,207.16,775.48,138.93
2021-09-29,142.83,205.17,781.31,139.18
2021-09-28,141.91,206.99,777.56,137.47
2021-09-27,145.37,216.6,791.36,138.56
2021-09-24,146.92,220.81,774.39,137.49
2021-09-23,146.83,224.82,753.64,136.73
2021-09-22,145.85,219.41,751.94,134.63
2021-09-21,143.43,212.46,739.38,132.97
2021-09-20,142.94,211.13,730.17,134.31
2021-09-17,146.06,219.0,759.49,135.23
2021-09-16,148.79,222.42,756.99,136.43
